	gage_number	variable	qualifier	value	dateTime
0	08068720	Discharge, cubic feet per second	e	14.0	2015-01-01T00:00:00.000
1	08068720	Discharge, cubic feet per second	e	11.7	2015-01-02T00:00:00.000
2	08068720	Discharge, cubic feet per second	e	122	2015-01-03T00:00:00.000
3	08068720	Discharge, cubic feet per second	e	126	2015-01-04T00:00:00.000
4	08068720	Discharge, cubic feet per second	e	47.2	2015-01-05T00:00:00.000
5	08068720	Discharge, cubic feet per second	e	16.7	2015-01-06T00:00:00.000
6	08068720	Discharge, cubic feet per second	e	8.55	2015-01-07T00:00:00.000
7	08068720	Discharge, cubic feet per second	e	4.48	2015-01-08T00:00:00.000
8	08068720	Discharge, cubic feet per second	e	2.63	2015-01-09T00:00:00.000
9	08068720	Discharge, cubic feet per second	e	1.94	2015-01-10T00:00:00.000
10	08068720	Discharge, cubic feet per second	e	24.8	2015-01-11T00:00:00.000
11	08068720	Discharge, cubic feet per second	e	57.8	2015-01-12T00:00:00.000
12	08068720	Discharge, cubic feet per second	e	48.2	2015-01-13T00:00:00.000
13	08068720	Discharge, cubic feet per second	e	17.6	2015-01-14T00:00:00.000
14	08068720	Discharge, cubic feet per second	e	7.99	2015-01-15T00:00:00.000
15	08068720	Discharge, cubic feet per second	e	4.09	2015-01-16T00:00:00.000
16	08068720	Discharge, cubic feet per second	e	5.80	2015-01-17T00:00:00.000
17	08068720	Discharge, cubic feet per second	e	4.61	2015-01-18T00:00:00.000
18	08068720	Discharge, cubic feet per second	e	3.05	2015-01-19T00:00:00.000
19	08068720	Discharge, cubic feet per second	e	1.77	2015-01-20T00:00:00.000
20	08068720	Discharge, cubic feet per second	e	1.08	2015-01-21T00:00:00.000
21	08068720	Discharge, cubic feet per second	e	25.2	2015-01-22T00:00:00.000
22	08068720	Discharge, cubic feet per second	e	163	2015-01-23T00:00:00.000
23	08068720	Discharge, cubic feet per second	e	160	2015-01-24T00:00:00.000
24	08068720	Discharge, cubic feet per second	e	33.2	2015-01-25T00:00:00.000
25	08068720	Discharge, cubic feet per second	e	11.0	2015-01-26T00:00:00.000
26	08068720	Discharge, cubic feet per second	e	6.30	2015-01-27T00:00:00.000
27	08068720	Discharge, cubic feet per second	e	4.09	2015-01-28T00:00:00.000
28	08068720	Discharge, cubic feet per second	e	2.41	2015-01-29T00:00:00.000
29	08068720	Discharge, cubic feet per second	e	1.85	2015-01-30T00:00:00.000
30	08068720	Discharge, cubic feet per second	e	0.97	2015-01-31T00:00:00.000
31	08068720	Discharge, cubic feet per second	e	0.82	2015-02-01T00:00:00.000
32	08068720	Discharge, cubic feet per second	e	0.73	2015-02-02T00:00:00.000
33	08068720	Discharge, cubic feet per second	e	0.69	2015-02-03T00:00:00.000
34	08068720	Discharge, cubic feet per second	e	0.92	2015-02-04T00:00:00.000
35	08068720	Discharge, cubic feet per second	e	0.92	2015-02-05T00:00:00.000
36	08068720	Discharge, cubic feet per second	e	0.92	2015-02-06T00:00:00.000
37	08068720	Discharge, cubic feet per second	e	1.20	2015-02-07T00:00:00.000
38	08068720	Discharge, cubic feet per second	e	1.20	2015-02-08T00:00:00.000
39	08068720	Discharge, cubic feet per second	e	1.08	2015-02-09T00:00:00.000
40	08068720	Discharge, cubic feet per second	e	3.49	2015-02-10T00:00:00.000
41	08068720	Discharge, cubic feet per second	e	0.87	2015-02-11T00:00:00.000
42	08068720	Discharge, cubic feet per second	e	0.60	2015-02-12T00:00:00.000
43	08068720	Discharge, cubic feet per second	e	0.41	2015-02-13T00:00:00.000
44	08068720	Discharge, cubic feet per second	e	0.25	2015-02-14T00:00:00.000
45	08068720	Discharge, cubic feet per second	e	0.14	2015-02-15T00:00:00.000
46	08068720	Discharge, cubic feet per second	e	0.10	2015-02-16T00:00:00.000
47	08068720	Discharge, cubic feet per second	e	0.13	2015-02-17T00:00:00.000
48	08068720	Discharge, cubic feet per second	e	0.14	2015-02-18T00:00:00.000
49	08068720	Discharge, cubic feet per second	e	0.25	2015-02-19T00:00:00.000
50	08068720	Discharge, cubic feet per second	e	0.35	2015-02-20T00:00:00.000
51	08068720	Discharge, cubic feet per second	e	0.48	2015-02-21T00:00:00.000
52	08068720	Discharge, cubic feet per second	e	0.52	2015-02-22T00:00:00.000
53	08068720	Discharge, cubic feet per second	e	0.41	2015-02-23T00:00:00.000
54	08068720	Discharge, cubic feet per second	e	0.41	2015-02-24T00:00:00.000
55	08068720	Discharge, cubic feet per second	e	0.65	2015-02-25T00:00:00.000
56	08068720	Discharge, cubic feet per second	e	0.69	2015-02-26T00:00:00.000
57	08068720	Discharge, cubic feet per second	e	0.48	2015-02-27T00:00:00.000
58	08068720	Discharge, cubic feet per second	e	0.48	2015-02-28T00:00:00.000
59	08068720	Discharge, cubic feet per second	e	0.60	2015-03-01T00:00:00.000
60	08068720	Discharge, cubic feet per second	e	0.73	2015-03-02T00:00:00.000
61	08068720	Discharge, cubic feet per second	e	0.92	2015-03-03T00:00:00.000
62	08068720	Discharge, cubic feet per second	e	1.40	2015-03-04T00:00:00.000
63	08068720	Discharge, cubic feet per second	e	1.26	2015-03-05T00:00:00.000
64	08068720	Discharge, cubic feet per second	e	0.73	2015-03-06T00:00:00.000
65	08068720	Discharge, cubic feet per second	e	0.69	2015-03-07T00:00:00.000
66	08068720	Discharge, cubic feet per second	e	21.9	2015-03-08T00:00:00.000
67	08068720	Discharge, cubic feet per second	e	646	2015-03-09T00:00:00.000
68	08068720	Discharge, cubic feet per second	e	714	2015-03-10T00:00:00.000
69	08068720	Discharge, cubic feet per second	e	818	2015-03-11T00:00:00.000
70	08068720	Discharge, cubic feet per second	e	817	2015-03-12T00:00:00.000
71	08068720	Discharge, cubic feet per second	e	733	2015-03-13T00:00:00.000
72	08068720	Discharge, cubic feet per second	e	521	2015-03-14T00:00:00.000
73	08068720	Discharge, cubic feet per second	e	281	2015-03-15T00:00:00.000
74	08068720	Discharge, cubic feet per second	e	132	2015-03-16T00:00:00.000
75	08068720	Discharge, cubic feet per second	e	82.6	2015-03-17T00:00:00.000
76	08068720	Discharge, cubic feet per second	e	49.2	2015-03-18T00:00:00.000
77	08068720	Discharge, cubic feet per second	e	37.0	2015-03-19T00:00:00.000
78	08068720	Discharge, cubic feet per second	e	32.0	2015-03-20T00:00:00.000
79	08068720	Discharge, cubic feet per second	e	289	2015-03-21T00:00:00.000
80	08068720	Discharge, cubic feet per second	e	435	2015-03-22T00:00:00.000
81	08068720	Discharge, cubic feet per second	e	481	2015-03-23T00:00:00.000
82	08068720	Discharge, cubic feet per second	e	447	2015-03-24T00:00:00.000
83	08068720	Discharge, cubic feet per second	e	178	2015-03-25T00:00:00.000
84	08068720	Discharge, cubic feet per second	e	72.4	2015-03-26T00:00:00.000
85	08068720	Discharge, cubic feet per second	e	34.9	2015-03-27T00:00:00.000
86	08068720	Discharge, cubic feet per second	e	21.2	2015-03-28T00:00:00.000
87	08068720	Discharge, cubic feet per second	e	14.0	2015-03-29T00:00:00.000
88	08068720	Discharge, cubic feet per second	e	10.8	2015-03-30T00:00:00.000
89	08068720	Discharge, cubic feet per second	e	8.36	2015-03-31T00:00:00.000
90	08068720	Discharge, cubic feet per second	e	7.11	2015-04-01T00:00:00.000
91	08068720	Discharge, cubic feet per second	e	6.13	2015-04-02T00:00:00.000
92	08068720	Discharge, cubic feet per second	e	5.97	2015-04-03T00:00:00.000
93	08068720	Discharge, cubic feet per second	e	5.80	2015-04-04T00:00:00.000
94	08068720	Discharge, cubic feet per second	e	4.89	2015-04-05T00:00:00.000
95	08068720	Discharge, cubic feet per second	e	4.35	2015-04-06T00:00:00.000
96	08068720	Discharge, cubic feet per second	e	3.84	2015-04-07T00:00:00.000
